player_name,role_group,window_minutes,pred_net,pred_off,pred_def,rank_net
E. Džeko,CF,14121,0.120852922822106,0.0862997902978001,-0.034553132524306,78
Bernardo Silva,DMCM,17120,0.120800768491053,0.0723518333805998,-0.0484489351104529,79
S. Coates,CB,12710,0.120688463287612,0.0642777984988666,-0.0564106647887452,80
Evanilson,CF,9745,0.120592220766256,0.0750964392058638,-0.0454957815603918,81
K. Roofe,CF,3918,0.120575588158828,0.0677571348145859,-0.0528184533442425,82
M. Ødegaard,DMCM,14703,0.120169967175026,0.0791546387729716,-0.0410153284020544,83
H. Seferović,CF,4224,0.120115782549586,0.0879431152771756,-0.0321726672724107,84
I. Saibari,DMCM,5645,0.11969365207559,0.0834975297429875,-0.0361961223326028,85
Raphaël Guerreiro,FBWB,11670,0.119579312518197,0.0851539944998356,-0.0344253180183616,86
O. Boscagli,CB,14117,0.119536077984017,0.0687668808738387,-0.0507691971101786,87
Á. Di María,CF,14204,0.119326856919173,0.081135002185437,-0.0381918547337357,88
Gonçalo Inácio,CB,13802,0.119190888889554,0.0638677313872603,-0.055323157502294,89
M. Icardi,CF,8999,0.118748892248508,0.0867272600721928,-0.032021632176315,90
G. Til,AMWIDE,11071,0.118714576174723,0.0822483984719772,-0.0364661777027461,91
R. Sterling,CF,11200,0.11868326765828,0.0798678468028952,-0.0388154208553849,92
J. Matip,CB,6582,0.118678729684425,0.065625401834296,-0.0530533278501291,93
Z. Ibrahimović,CF,3118,0.118603772907227,0.0992667209893227,-0.0193370519179045,94
C. Nkunku,CF,10819,0.118416017264164,0.0901619277610248,-0.0282540895031389,95
R. Mahrez,AMWIDE,13693,0.118329325635335,0.0769713660075557,-0.0413579596277788,96
H. Kane,CF,19533,0.118258654456272,0.0944726472920825,-0.0237860071641898,97
N. Kühn,CF,3834,0.118228081093716,0.0864149754959083,-0.0318131055978076,98
A. Hamed-Allah,CF,9238,0.116495611647985,0.0823058469583788,-0.0341897646896066,99
Lisandro Martínez,CB,11961,0.116280309957745,0.0678813525720502,-0.0483989573856951,100
