role,stat_name,mean
LB,through_balls_p90,0.0656232888140564
RWB,through_balls_p90,0.0579342055542669
LWB,through_balls_p90,0.0489044006649606
RF,through_balls_p90,0
LF,through_balls_p90,0.25
DM,passes_p90,49.9861325598927
UNK,passes_p90,41.050872080747
RB,passes_p90,41.6555163703967
RM,passes_p90,31.2738276292518
LW,passes_p90,28.9021380186762
RW,passes_p90,28.5860222208059
CM,passes_p90,45.2019597200287
CAM,passes_p90,33.5094068380749
CF,passes_p90,21.7986587766344
CB,passes_p90,54.4135816987385
GK,passes_p90,30.9877908522318
LM,passes_p90,32.1100224265712
LB,passes_p90,41.6650467361099
RWB,passes_p90,28.6953469711826
LWB,passes_p90,28.8372032210691
RF,passes_p90,28.7259675405743
LF,passes_p90,24.6477304864253
DM,passes_accurate_p90,43.329931994829
UNK,passes_accurate_p90,33.4918388009792
RB,passes_accurate_p90,34.5466328990442
RM,passes_accurate_p90,24.8103502211365
LW,passes_accurate_p90,23.1827175311304
RW,passes_accurate_p90,22.6689644258904
CM,passes_accurate_p90,38.6705365265042
CAM,passes_accurate_p90,27.1540395027011
CF,passes_accurate_p90,16.5082297661164
CB,passes_accurate_p90,47.8675067506297
GK,passes_accurate_p90,21.3428257707327
LM,passes_accurate_p90,25.6824040507194
LB,passes_accurate_p90,34.6250879985847
RWB,passes_accurate_p90,22.1120056857188
LWB,passes_accurate_p90,22.3349371127105
RF,passes_accurate_p90,24.6841448189763
LF,passes_accurate_p90,22.0826145361991
DM,final_third_passes_p90,13.7306511735969
UNK,final_third_passes_p90,15.2333944788412
RB,final_third_passes_p90,11.8083973766132
RM,final_third_passes_p90,11.7029158083794
LW,final_third_passes_p90,13.1095508114436
RW,final_third_passes_p90,13.1806683732992
CM,final_third_passes_p90,13.1884637123139
CAM,final_third_passes_p90,14.3569946201718
CF,final_third_passes_p90,9.82929586697383
CB,final_third_passes_p90,7.64236004746734
GK,final_third_passes_p90,4.47735062755085
LM,final_third_passes_p90,11.6169059062436
LB,final_third_passes_p90,11.7574012867815
RWB,final_third_passes_p90,8.63074986192195
LWB,final_third_passes_p90,8.54511730023778
RF,final_third_passes_p90,13.6089263420724
LF,final_third_passes_p90,11.5065045248869
DM,long_balls_p90,4.06250722856174
UNK,long_balls_p90,3.03938730907844
RB,long_balls_p90,3.89757210969966
RM,long_balls_p90,2.40610793782604
LW,long_balls_p90,1.62566242662573
RW,long_balls_p90,1.65871326637243
CM,long_balls_p90,3.56708121495994
CAM,long_balls_p90,2.10168864082795
CF,long_balls_p90,1.03015527400766
CB,long_balls_p90,5.96915167732741
GK,long_balls_p90,15.2646562655435
LM,long_balls_p90,2.53858947011694
LB,long_balls_p90,3.85331232434847
RWB,long_balls_p90,3.01609572708497
LWB,long_balls_p90,3.03507492078007
RF,long_balls_p90,2.25842696629214
LF,long_balls_p90,0.6015625
DM,crosses_p90,1.20184517779464
UNK,crosses_p90,2.6367694645008
RB,crosses_p90,2.26469602198698
RM,crosses_p90,3.13901762398723
LW,crosses_p90,2.81693107829019
RW,crosses_p90,3.41712481836966
CM,crosses_p90,1.43346184263888
CAM,crosses_p90,2.50471887857547
CF,crosses_p90,1.31732335829402
CB,crosses_p90,0.275744006085124
GK,crosses_p90,0.000328057081932256
LM,crosses_p90,3.26183011792436
LB,crosses_p90,2.83949332249632
RWB,crosses_p90,2.63629375539165
LWB,crosses_p90,2.79305453830766
RF,crosses_p90,5.01685393258427
LF,crosses_p90,3.12319711538462
DM,forward_pass_p90,14.4490074785841
UNK,forward_pass_p90,12.0468873661869
RB,forward_pass_p90,15.4280069413002
RM,forward_pass_p90,9.29083386114437
LW,forward_pass_p90,6.85954142447748
RW,forward_pass_p90,6.9966373559354
CM,forward_pass_p90,12.9768470013217
CAM,forward_pass_p90,9.08463653412977
CF,forward_pass_p90,4.96004853119128
CB,forward_pass_p90,19.0123356929245
GK,forward_pass_p90,18.4178151343428
LM,forward_pass_p90,9.50748439577494
LB,forward_pass_p90,15.588087204139
RWB,forward_pass_p90,10.3146797899224
LWB,forward_pass_p90,10.4150806370894
RF,forward_pass_p90,6.93071161048689
LF,forward_pass_p90,2.96355345022624
DM,tackles_p90,2.16920350593127
UNK,tackles_p90,2.02236271247915
RB,tackles_p90,2.1378356147345
RM,tackles_p90,1.66208198033153
LW,tackles_p90,1.32661206703798
RW,tackles_p90,1.35306433038844
CM,tackles_p90,1.92847632627196
CAM,tackles_p90,1.31669462191468
CF,tackles_p90,0.797558744078115
CB,tackles_p90,1.43636429382182
GK,tackles_p90,0.0293600599651655
LM,tackles_p90,1.64432199210311
LB,tackles_p90,1.9935583871637
RWB,tackles_p90,2.08261568652134
LWB,tackles_p90,2.08660926404377
RF,tackles_p90,1.31117353308365
LF,tackles_p90,1.14002403846154
DM,tackles_won_p90,1.27248939341632
UNK,tackles_won_p90,1.21112097479588
RB,tackles_won_p90,1.35503668055398
RM,tackles_won_p90,1.02671061158595
LW,tackles_won_p90,0.814382993991781
RW,tackles_won_p90,0.818599730053782
CM,tackles_won_p90,1.13033060613207
CAM,tackles_won_p90,0.772575654038136
CF,tackles_won_p90,0.477491084748709
CB,tackles_won_p90,0.880496058254644
GK,tackles_won_p90,0.0173859764746381
LM,tackles_won_p90,1.00539864421158
LB,tackles_won_p90,1.2593220803859
RWB,tackles_won_p90,1.32231133886485
LWB,tackles_won_p90,1.25649342765057
RF,tackles_won_p90,0.783395755305868
LF,tackles_won_p90,0.538461538461538
DM,interceptions_p90,1.13030903869886
UNK,interceptions_p90,0.812136109784287
RB,interceptions_p90,1.04528530417312
RM,interceptions_p90,0.727273825019394
LW,interceptions_p90,0.488889924049503
RW,interceptions_p90,0.5383633405167
CM,interceptions_p90,0.962659205130401
CAM,interceptions_p90,0.465122919975305
CF,interceptions_p90,0.265391237949976
CB,interceptions_p90,1.12887996464908
GK,interceptions_p90,0.00915365125511185
LM,interceptions_p90,0.720203148232786
LB,interceptions_p90,1.07356769679584
RWB,interceptions_p90,1.03720942965388
LWB,interceptions_p90,0.958500933876029
RF,interceptions_p90,0
LF,interceptions_p90,0.3515625
DM,interceptions_won_p90,1.13030903869886
UNK,interceptions_won_p90,0.812136109784287
RB,interceptions_won_p90,1.04528530417312
RM,interceptions_won_p90,0.727273825019394
LW,interceptions_won_p90,0.488889924049503
RW,interceptions_won_p90,0.5383633405167
CM,interceptions_won_p90,0.962659205130401
CAM,interceptions_won_p90,0.465122919975305
CF,interceptions_won_p90,0.265391237949976
CB,interceptions_won_p90,1.12887996464908
GK,interceptions_won_p90,0.00915365125511185
LM,interceptions_won_p90,0.720203148232786
LB,interceptions_won_p90,1.07356769679584
RWB,interceptions_won_p90,1.03720942965388
LWB,interceptions_won_p90,0.958500933876029
RF,interceptions_won_p90,0
LF,interceptions_won_p90,0.3515625
DM,clearances_p90,1.597837352017
UNK,clearances_p90,1.97504884930745
RB,clearances_p90,2.713322117685
RM,clearances_p90,1.4786611190709
LW,clearances_p90,0.651379010789221
RW,clearances_p90,0.730179428733322
CM,clearances_p90,1.33128055215686
CAM,clearances_p90,0.652448737158891
CF,clearances_p90,0.70187012901376
CB,clearances_p90,5.00320135087389
GK,clearances_p90,1.0123951694352
LM,clearances_p90,1.49919395349895
LB,clearances_p90,2.68977500649853
RWB,clearances_p90,2.5238309139731
LWB,clearances_p90,2.4524783699107
RF,clearances_p90,0.252808988764045
LF,clearances_p90,1.86488970588235
DM,clearances_effective_p90,1.597837352017
UNK,clearances_effective_p90,1.97504884930745
RB,clearances_effective_p90,2.713322117685
RM,clearances_effective_p90,1.4786611190709
LW,clearances_effective_p90,0.651379010789221
RW,clearances_effective_p90,0.730179428733322
CM,clearances_effective_p90,1.33128055215686
CAM,clearances_effective_p90,0.652448737158891
CF,clearances_effective_p90,0.70187012901376
CB,clearances_effective_p90,5.00320135087389
GK,clearances_effective_p90,1.0123951694352
LM,clearances_effective_p90,1.49919395349895
LB,clearances_effective_p90,2.68977500649853
RWB,clearances_effective_p90,2.5238309139731
